Date,Item Name,SKU,Quantity,Unit Price,Total,Category
2025-11-26,Wireless Mouse,MOUSE-001,18,29.99,539.82,Electronics
2025-11-26,Standing Desk,DESK-001,3,349.99,1049.97,Furniture
2025-11-26,Office Chair,CHAIR-001,4,199.99,799.96,Furniture
2025-11-26,Keyboard,KEYBOARD-001,9,79.99,719.91,Electronics
2025-11-26,Monitor Stand,MONITOR-001,5,49.99,249.95,Electronics
2025-11-26,Desk Lamp,LAMP-001,7,39.99,279.93,Furniture
2025-11-26,USB Cable,CABLE-001,30,9.99,299.70,Electronics
2025-11-26,Notebook,NBOOK-001,20,4.99,99.80,Office Supplies
2025-11-26,Pen Set,PEN-001,12,12.99,155.88,Office Supplies
2025-11-26,Stapler,STAPLER-001,5,14.99,74.95,Office Supplies
2025-11-26,Paper Clips,CLIPS-001,15,2.99,44.85,Office Supplies

